iter	Passed	Remaining
319	776	1649
320	778	1645
321	780	1642
322	782	1639
323	784	1635
324	786	1632
325	788	1631
326	791	1628
327	793	1626
328	796	1623
329	798	1621
330	800	1618
331	802	1615
332	805	1612
333	807	1609
334	809	1606
335	811	1603
336	813	1601
337	816	1598
338	818	1596
339	820	1592
340	822	1590
341	825	1587
342	827	1584
343	829	1581
344	831	1578
345	833	1575
346	835	1572
347	838	1570
348	840	1567
349	843	1565
350	845	1563
351	849	1563
352	851	1560
353	855	1561
354	858	1560
355	861	1558
356	863	1556
357	866	1554
358	869	1551
359	871	1549
360	874	1547
361	877	1545
362	879	1543
363	882	1541
364	884	1539
365	887	1536
366	889	1534
367	892	1532
368	894	1530
369	897	1528
370	899	1525
371	902	1524
372	905	1521
373	907	1519
374	910	1517
375	913	1515
376	915	1513
377	918	1511
378	920	1509
379	923	1506
380	926	1505
381	930	1505
382	933	1503
383	935	1500
384	937	1497
385	939	1494
386	941	1491
387	943	1488
388	945	1485
389	948	1483
390	950	1479
391	952	1477
392	954	1474
393	956	1471
394	959	1469
395	961	1466
396	963	1463
397	965	1460
398	967	1458
399	970	1455
400	972	1452
401	975	1450
402	977	1447
403	979	1445
404	982	1443
405	984	1440
406	986	1437
407	988	1434
408	991	1432
409	993	1429
410	995	1427
411	998	1424
412	1000	1421
413	1002	1418
414	1004	1416
415	1006	1413
416	1008	1410
417	1011	1407
418	1013	1405
419	1015	1402
420	1018	1400
421	1020	1397
422	1022	1395
423	1025	1392
424	1027	1389
425	1029	1387
426	1031	1384
427	1033	1381
428	1035	1378
429	1037	1375
430	1040	1373
431	1042	1370
432	1044	1367
433	1046	1365
434	1049	1362
435	1051	1359
436	1054	1359
437	1057	1356
438	1060	1354
439	1062	1352
440	1065	1350
441	1067	1347
442	1069	1344
443	1071	1342
444	1074	1339
445	1076	1336
446	1078	1334
447	1080	1331
448	1083	1329
449	1085	1326
